maintenance_ticket_id,booking_id,guest_id,room_id,reported_date,reported_time,issue_type,issue_category,priority,status,technician_id,first_response_minutes,resolution_minutes,repeat_issue_flag,guest_impact,room_blocked,notes
MNT-000013,BKG-003676,GST-003676,RM-439,2021-04-09,00:50,slow drain,plumbing,high,pending_parts,TECH-017,25,,false,moderate,false,Drain was slow and required snaking; parts ordered; temporary workaround noted.
MNT-000014,BKG-003669,GST-003669,RM-304,2021-04-12,08:30,wardrobe hinge,furniture,medium,resolved,TECH-005,39,245,false,minor,false,wardrobe hinge; resolved and room returned to service.
MNT-000015,BKG-003669,GST-003669,RM-304,2021-04-13,15:15,bed frame squeak,furniture,low,resolved,TECH-006,67,263,true,none,false,wardrobe hinge; repeat issue in same room cluster; resolved and room returned to service.
MNT-000016,BKG-006201,GST-006201,RM-140,2021-04-22,17:30,water leak,plumbing,medium,open,TECH-004,27,,false,minor,false,Water leak observed near vanity; open follow-up at time of review.
MNT-000017,BKG-004776,GST-004776,RM-107,2021-04-24,09:35,elevator vibration,noise,low,resolved,TECH-003,151,156,false,none,false,Guest reported elevator vibration; resolved and room returned to service.
MNT-000018,BKG-008250,GST-008250,RM-413,2021-04-24,13:12,door latch adjustment,door_lock,medium,resolved,TECH-015,19,132,false,minor,false,deadbolt sticking; resolved and room returned to service.
MNT-000019,BKG-003614,GST-003614,RM-435,2021-05-09,21:35,TV remote not working,television,low,open,TECH-016,49,,false,none,false,Set-top box required reboot; open follow-up at time of review.
MNT-000020,BKG-007026,GST-007026,RM-537,2021-05-17,21:40,HVAC rattling,noise,high,open,TECH-012,21,,false,moderate,false,Guest reported elevator vibration; open follow-up at time of review.
MNT-000021,BKG-005082,GST-005082,RM-201,2021-05-19,13:35,TV remote not working,television,low,pending_parts,TECH-012,163,,false,none,false,TV remote was unresponsive; record existed before guest arrival; parts ordered; temporary workaround noted.
MNT-000022,BKG-007960,GST-007960,RM-339,2021-05-22,08:00,AC not cooling,air_conditioning,low,resolved,TECH-011,169,495,false,none,false,Guest reported warm air from vents; record existed before guest arrival; resolved and room returned to service.
MNT-000023,BKG-001884,GST-001884,RM-125,2021-05-30,20:50,elevator vibration,noise,high,pending_parts,TECH-006,32,,false,significant,false,Guest reported elevator vibration; record existed before guest arrival; parts ordered; temporary workaround noted.
MNT-000024,BKG-009004,GST-009004,RM-521,2021-06-01,00:05,AC not cooling,air_conditioning,high,resolved,TECH-003,19,428,true,moderate,false,Thermostat failed to hold set temperature; repeat issue in same room cluster; resolved and room returned to service.
MNT-000025,BKG-004871,GST-004871,RM-126,2021-06-02,12:12,wardrobe hinge,furniture,low,resolved,TECH-005,58,120,false,none,false,wardrobe hinge; resolved and room returned to service.
MNT-000026,BKG-001884,GST-001884,RM-125,2021-06-02,18:00,hallway noise check,noise,low,resolved,TECH-006,142,258,true,none,false,Rattle checked near corridor mechanical closet; repeat issue in same room cluster; resolved and room returned to service.
MNT-000027,BKG-009004,GST-009004,RM-521,2021-06-02,20:12,weak Wi-Fi signal,wifi,low,resolved,TECH-001,46,51,false,minor,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000028,BKG-001104,GST-001104,RM-537,2021-06-04,12:30,router reset,wifi,medium,resolved,TECH-017,80,85,false,moderate,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000029,BKG-007065,GST-007065,RM-128,2021-06-05,20:10,bed frame squeak,furniture,low,resolved,TECH-004,40,61,false,minor,false,desk chair loose; resolved and room returned to service.
MNT-000030,BKG-003953,GST-003953,RM-502,2021-06-07,16:00,power trip,electrical,medium,resolved,TECH-015,25,107,false,moderate,false,safe power fault; resolved and room returned to service.
MNT-000031,BKG-005545,GST-005545,RM-118,2021-06-19,19:50,elevator vibration,noise,high,pending_parts,TECH-005,28,,false,significant,false,Noise complaint investigated during quiet hours; parts ordered; temporary workaround noted.
MNT-000032,BKG-007451,GST-007451,RM-338,2021-06-25,16:10,toilet running,plumbing,medium,resolved,TECH-014,77,303,false,minor,false,Shower pressure dropped during stay; resolved and room returned to service.
MNT-000033,BKG-002309,GST-002309,RM-326,2021-07-02,13:20,router reset,wifi,medium,resolved,TECH-015,32,37,false,minor,false,Guest reported weak in-room Wi-Fi; resolved and room returned to service.
MNT-000034,BKG-003677,GST-003677,RM-514,2021-07-17,19:55,inspection follow-up,other,high,escalated,TECH-017,26,,false,significant,false,inspection follow-up; escalated to engineering lead.
MNT-000035,BKG-005927,GST-005927,RM-502,2021-07-18,21:35,bed frame squeak,furniture,high,resolved,TECH-003,19,288,false,significant,false,desk chair loose; resolved and room returned to service.
MNT-000036,BKG-000180,GST-000180,RM-337,2021-08-18,01:25,AC not cooling,air_conditioning,high,open,TECH-017,8,,true,significant,false,Open repeat cooling issue in same room cluster; engineering follow-up scheduled.
MNT-000037,BKG-007471,GST-007471,RM-542,2021-08-21,21:20,slow drain,plumbing,medium,resolved,TECH-006,78,573,false,minor,false,Water leak observed near vanity; resolved and room returned to service.
MNT-000038,BKG-009539,GST-009539,RM-202,2021-08-23,00:35,warm air complaint,air_conditioning,high,resolved,TECH-003,29,633,false,moderate,false,Thermostat failed to hold set temperature; record existed before guest arrival; resolved and room returned to service.
MNT-000039,BKG-009539,GST-009539,RM-202,2021-08-24,07:45,thermostat fault,air_conditioning,high,pending_parts,TECH-016,18,,true,significant,false,Thermostat failed to hold set temperature; repeat issue in same room cluster; parts ordered; temporary workaround noted.
MNT-000040,BKG-001077,GST-001077,RM-440,2021-09-01,13:50,warm air complaint,air_conditioning,medium,escalated,TECH-017,15,,true,moderate,false,Fan coil produced intermittent cooling; repeat issue in same room cluster; escalated to engineering lead.
MNT-000041,BKG-001077,GST-001077,RM-440,2021-09-02,18:30,dimmer switch issue,lighting,low,resolved,TECH-014,27,121,false,minor,false,bedside lamp fault; resolved and room returned to service.
MNT-000042,BKG-005194,GST-005194,RM-415,2021-09-09,09:45,wardrobe hinge,furniture,low,escalated,TECH-013,71,,false,none,false,desk chair loose; escalated to engineering lead.
MNT-000043,BKG-005459,GST-005459,RM-226,2021-09-11,16:35,minibar not cooling,minibar,medium,resolved,TECH-016,74,149,false,moderate,false,missing minibar seal; resolved and room returned to service.
MNT-000044,BKG-000271,GST-000271,RM-130,2021-09-17,22:35,thermostat fault,air_conditioning,high,escalated,TECH-012,26,,true,moderate,false,Repeated AC failure escalated to engineering lead for root-cause review.
MNT-000045,BKG-002313,GST-002313,RM-510,2021-09-20,13:20,router reset,wifi,medium,resolved,TECH-012,50,55,false,moderate,false,Guest reported weak in-room Wi-Fi; resolved and room returned to service.
MNT-000046,BKG-000027,GST-000027,RM-540,2021-09-20,21:40,warm air complaint,air_conditioning,high,resolved,TECH-005,35,673,true,moderate,false,Compressor fault logged before arrival; temporary reset completed but room flagged for monitoring.
MNT-000047,BKG-008642,GST-008642,RM-441,2021-09-26,17:10,no signal,television,medium,resolved,TECH-003,16,139,false,moderate,false,Set-top box required reboot; resolved and room returned to service.
MNT-000048,BKG-008276,GST-008276,RM-535,2021-10-03,11:12,router reset,wifi,medium,resolved,TECH-002,18,37,true,minor,false,Guest reported weak in-room Wi-Fi; repeat issue in same room cluster; resolved and room returned to service.
MNT-000049,BKG-008276,GST-008276,RM-535,2021-10-07,08:25,hallway noise check,noise,low,pending_parts,TECH-008,147,,false,minor,false,Rattle checked near corridor mechanical closet; parts ordered; temporary workaround noted.
MNT-000050,BKG-008706,GST-008706,RM-137,2021-10-20,21:15,sink leak,plumbing,urgent,resolved,TECH-002,11,244,false,severe,false,Drain was slow and required snaking; resolved and room returned to service.
MNT-000051,BKG-009666,GST-009666,RM-219,2021-10-24,11:50,fan coil noise,air_conditioning,medium,resolved,TECH-008,28,661,false,moderate,false,Fan coil produced intermittent cooling; record existed before guest arrival; resolved and room returned to service.
MNT-000052,BKG-000941,GST-000941,RM-138,2021-11-08,21:10,thermostat fault,air_conditioning,medium,resolved,TECH-017,69,254,false,minor,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000053,BKG-009826,GST-009826,RM-409,2021-12-04,06:50,fan coil noise,air_conditioning,high,pending_parts,TECH-017,23,,true,moderate,false,Fan coil produced intermittent cooling; repeat issue in same room cluster; parts ordered; temporary workaround noted.
MNT-000054,BKG-009826,GST-009826,RM-409,2021-12-07,16:45,outlet not working,electrical,medium,resolved,TECH-005,15,205,false,moderate,false,power trip; resolved and room returned to service.
MNT-000055,BKG-003947,GST-003947,RM-426,2021-12-18,17:15,warm air complaint,air_conditioning,medium,resolved,TECH-012,47,573,false,moderate,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000056,BKG-000039,GST-000039,RM-434,2021-12-24,11:25,login portal issue,wifi,low,resolved,TECH-015,102,107,false,none,false,Guest reported weak Wi-Fi; access point reset and connection restored within the hour.
MNT-000057,BKG-001445,GST-001445,RM-338,2021-12-24,17:00,screen flicker,television,medium,resolved,TECH-015,70,75,false,moderate,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000058,BKG-004891,GST-004891,RM-430,2021-12-28,15:25,screen flicker,television,medium,resolved,TECH-010,78,158,false,moderate,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000059,BKG-006407,GST-006407,RM-114,2022-01-01,21:20,toilet running,plumbing,high,resolved,TECH-018,31,489,false,significant,false,Drain was slow and required snaking; resolved and room returned to service.
MNT-000060,BKG-007585,GST-007585,RM-206,2022-01-11,01:55,door latch adjustment,door_lock,high,open,TECH-010,15,,false,moderate,false,deadbolt sticking; open follow-up at time of review.
MNT-000061,BKG-000093,GST-000093,RM-228,2022-01-15,09:00,warm air complaint,air_conditioning,medium,resolved,TECH-011,24,389,false,moderate,false,Thermostat failed to hold set temperature; resolved and room returned to service.
MNT-000062,BKG-003633,GST-003633,RM-322,2022-01-18,12:35,TV remote not working,television,low,resolved,TECH-008,119,124,false,none,false,TV remote was unresponsive; resolved and room returned to service.
MNT-000063,BKG-001954,GST-001954,RM-239,2022-01-19,08:20,wardrobe hinge,furniture,medium,resolved,TECH-004,24,243,false,minor,false,wardrobe hinge; resolved and room returned to service.
MNT-000064,BKG-003596,GST-003596,RM-223,2022-01-26,08:30,AC not cooling,air_conditioning,medium,resolved,TECH-014,19,368,false,minor,false,Guest reported warm air from vents; resolved and room returned to service.
MNT-000065,BKG-008714,GST-008714,RM-105,2022-01-29,09:50,bathroom light out,lighting,medium,resolved,TECH-014,64,112,false,moderate,false,bathroom light out; resolved and room returned to service.
MNT-000066,BKG-000748,GST-000748,RM-433,2022-01-30,14:50,login portal issue,wifi,low,resolved,TECH-004,29,58,false,none,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000067,BKG-006442,GST-006442,RM-221,2022-02-02,06:12,toilet running,plumbing,high,pending_parts,TECH-014,34,,false,moderate,false,Drain was slow and required snaking; parts ordered; temporary workaround noted.
MNT-000068,BKG-006730,GST-006730,RM-203,2022-02-03,19:30,desk chair loose,furniture,medium,resolved,TECH-010,78,157,false,minor,false,desk chair loose; resolved and room returned to service.
MNT-000069,BKG-003183,GST-003183,RM-216,2022-02-07,12:45,thermostat fault,air_conditioning,medium,resolved,TECH-013,56,348,false,minor,false,Thermostat failed to hold set temperature; resolved and room returned to service.
MNT-000070,BKG-000444,GST-000444,RM-331,2022-02-15,11:50,missing minibar seal,minibar,low,resolved,TECH-002,88,166,false,minor,false,sensor reset; resolved and room returned to service.
MNT-000071,BKG-007459,GST-007459,RM-306,2022-03-03,15:00,screen flicker,television,medium,resolved,TECH-002,18,101,false,moderate,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000072,BKG-003463,GST-003463,RM-330,2022-03-04,19:00,sensor reset,minibar,high,resolved,TECH-005,24,160,false,moderate,false,sensor reset; resolved and room returned to service.
MNT-000073,BKG-003037,GST-003037,RM-412,2022-03-05,18:30,power trip,electrical,low,resolved,TECH-006,54,513,false,none,false,power trip; resolved and room returned to service.
MNT-000074,BKG-008540,GST-008540,RM-329,2022-03-22,12:25,warm air complaint,air_conditioning,low,resolved,TECH-011,123,151,false,minor,false,Guest reported warm air from vents; resolved and room returned to service.
MNT-000075,BKG-008922,GST-008922,RM-413,2022-03-31,11:30,wardrobe hinge,furniture,medium,open,TECH-010,79,,false,moderate,false,bed frame squeak; open follow-up at time of review.
MNT-000076,BKG-009910,GST-009910,RM-409,2022-04-12,06:15,slow drain,plumbing,urgent,resolved,TECH-013,12,495,false,severe,false,Water leak observed near vanity; resolved and room returned to service.
MNT-000077,BKG-001686,GST-001686,RM-119,2022-04-13,09:50,warm air complaint,air_conditioning,medium,resolved,TECH-015,61,280,false,minor,false,Thermostat failed to hold set temperature; resolved and room returned to service.
MNT-000078,BKG-002457,GST-002457,RM-322,2022-04-13,10:30,thermostat fault,air_conditioning,medium,resolved,TECH-010,79,663,false,moderate,false,Thermostat failed to hold set temperature; resolved and room returned to service.
MNT-000079,BKG-003734,GST-003734,RM-517,2022-04-17,14:35,screen flicker,television,low,resolved,TECH-005,29,85,false,none,false,Set-top box required reboot; resolved and room returned to service.
MNT-000080,BKG-000867,GST-000867,RM-140,2022-04-28,20:25,outlet not working,electrical,medium,resolved,TECH-007,76,237,false,moderate,false,power trip; resolved and room returned to service.
MNT-000081,BKG-001633,GST-001633,RM-542,2022-05-01,10:45,no signal,television,medium,resolved,TECH-008,37,77,false,minor,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000082,BKG-009273,GST-009273,RM-216,2022-05-03,18:00,elevator vibration,noise,medium,resolved,TECH-006,65,169,false,minor,false,Guest reported elevator vibration; resolved and room returned to service.
MNT-000083,BKG-009685,GST-009685,RM-406,2022-05-15,19:35,fan coil noise,air_conditioning,medium,resolved,TECH-015,68,259,false,moderate,false,Thermostat failed to hold set temperature; resolved and room returned to service.
MNT-000084,BKG-003072,GST-003072,RM-519,2022-05-22,07:50,slow drain,plumbing,urgent,resolved,TECH-012,17,256,false,severe,false,Shower pressure dropped during stay; resolved and room returned to service.
MNT-000085,BKG-000090,GST-000090,RM-419,2022-06-01,01:05,sink leak,plumbing,urgent,escalated,TECH-004,17,,false,severe,true,Active shower leak discovered at checkout; room blocked pending engineering supervisor inspection.
MNT-000086,BKG-002539,GST-002539,RM-530,2022-06-09,07:50,AC not cooling,air_conditioning,high,resolved,TECH-001,12,279,false,significant,false,Guest reported warm air from vents; resolved and room returned to service.
MNT-000087,BKG-001038,GST-001038,RM-507,2022-06-13,08:50,TV remote not working,television,medium,open,TECH-015,72,,false,moderate,false,TV remote was unresponsive; open follow-up at time of review.
MNT-000088,BKG-009886,GST-009886,RM-421,2022-06-21,13:25,wardrobe hinge,furniture,medium,resolved,TECH-014,52,249,false,minor,false,bed frame squeak; resolved and room returned to service.
MNT-000089,BKG-006210,GST-006210,RM-425,2022-06-26,09:15,slow drain,plumbing,medium,resolved,TECH-009,50,135,false,moderate,false,Water leak observed near vanity; resolved and room returned to service.
MNT-000090,BKG-006210,GST-006210,RM-425,2022-06-26,11:00,router reset,wifi,high,resolved,TECH-014,12,66,true,moderate,false,Access point required reset; repeat issue in same room cluster; resolved and room returned to service.
MNT-000091,BKG-001497,GST-001497,RM-140,2022-07-15,22:45,thermostat fault,air_conditioning,urgent,resolved,TECH-009,6,155,false,severe,false,Guest reported warm air from vents; resolved and room returned to service.
MNT-000092,BKG-004055,GST-004055,RM-214,2022-07-22,00:45,fan coil noise,air_conditioning,high,open,TECH-008,9,,false,moderate,false,Guest reported warm air from vents; open follow-up at time of review.
MNT-000093,BKG-008553,GST-008553,RM-240,2022-08-08,06:25,AC not cooling,air_conditioning,high,open,TECH-003,20,,false,significant,false,Fan coil produced intermittent cooling; open follow-up at time of review.
MNT-000094,BKG-003190,GST-003190,RM-509,2022-08-15,16:15,safe power fault,electrical,medium,resolved,TECH-008,23,107,false,minor,false,safe power fault; resolved and room returned to service.
MNT-000095,BKG-000708,GST-000708,RM-225,2022-08-27,09:15,safe power fault,electrical,high,pending_parts,TECH-018,29,,false,significant,false,power trip; parts ordered; temporary workaround noted.
MNT-000096,BKG-008704,GST-008704,RM-503,2022-09-08,01:15,fan coil noise,air_conditioning,high,resolved,TECH-010,15,319,true,moderate,false,Fan coil produced intermittent cooling; repeat issue in same room cluster; resolved and room returned to service.
MNT-000097,BKG-008704,GST-008704,RM-503,2022-09-08,23:25,thermostat fault,air_conditioning,high,open,TECH-001,34,,false,significant,false,Fan coil produced intermittent cooling; open follow-up at time of review.
MNT-000098,BKG-006282,GST-006282,RM-131,2022-09-13,17:45,dimmer switch issue,lighting,medium,resolved,TECH-006,61,73,false,moderate,false,bathroom light out; resolved and room returned to service.
MNT-000099,BKG-004000,GST-004000,RM-403,2022-09-25,10:12,door latch adjustment,door_lock,low,open,TECH-008,51,,false,none,false,deadbolt sticking; open follow-up at time of review.
MNT-000100,BKG-006124,GST-006124,RM-433,2022-09-28,15:40,inspection follow-up,other,low,resolved,TECH-018,111,221,false,none,false,amenity repair; resolved and room returned to service.
MNT-000101,BKG-008948,GST-008948,RM-235,2022-09-28,17:30,TV remote not working,television,low,resolved,TECH-015,58,164,false,minor,false,Set-top box required reboot; resolved and room returned to service.
MNT-000102,BKG-000997,GST-000997,RM-224,2022-10-08,20:55,TV remote not working,television,high,resolved,TECH-007,19,69,false,significant,false,Set-top box required reboot; record existed before guest arrival; resolved and room returned to service.
MNT-000103,BKG-005965,GST-005965,RM-218,2022-10-12,16:15,TV remote not working,television,medium,resolved,TECH-010,70,75,false,moderate,false,TV remote was unresponsive; resolved and room returned to service.
MNT-000104,BKG-004240,GST-004240,RM-109,2022-10-14,15:20,dimmer switch issue,lighting,low,resolved,TECH-009,100,105,false,none,false,bathroom light out; resolved and room returned to service.
MNT-000105,BKG-005547,GST-005547,RM-210,2022-10-27,10:12,no signal,television,low,resolved,TECH-016,86,137,false,minor,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000106,BKG-002592,GST-002592,RM-107,2022-10-27,14:15,login portal issue,wifi,medium,pending_parts,TECH-018,73,,false,moderate,false,Login portal failed for guest device; parts ordered; temporary workaround noted.
MNT-000107,BKG-000760,GST-000760,RM-527,2022-11-03,21:30,thermostat fault,air_conditioning,medium,resolved,TECH-011,33,386,false,moderate,false,Fan coil produced intermittent cooling; record existed before guest arrival; resolved and room returned to service.
MNT-000108,BKG-003912,GST-003912,RM-519,2022-11-14,11:50,safe power fault,electrical,medium,resolved,TECH-001,73,185,false,minor,false,power trip; resolved and room returned to service.
MNT-000109,BKG-004977,GST-004977,RM-222,2022-11-20,14:05,login portal issue,wifi,medium,resolved,TECH-007,63,68,false,minor,false,Guest reported weak in-room Wi-Fi; resolved and room returned to service.
MNT-000110,BKG-004719,GST-004719,RM-304,2022-11-20,14:25,bedside lamp fault,lighting,medium,resolved,TECH-008,37,42,false,moderate,false,dimmer switch issue; resolved and room returned to service.
MNT-000111,BKG-003353,GST-003353,RM-208,2022-11-25,09:40,HVAC rattling,noise,low,resolved,TECH-006,84,223,false,none,false,Guest reported elevator vibration; resolved and room returned to service.
MNT-000112,BKG-000067,GST-000067,RM-506,2022-12-10,08:15,login portal issue,wifi,low,resolved,TECH-001,175,180,true,none,false,Login portal failed for guest device; repeat issue in same room cluster; resolved and room returned to service.
MNT-000113,BKG-000067,GST-000067,RM-506,2022-12-11,19:25,screen flicker,television,medium,resolved,TECH-001,31,42,false,minor,false,Broken TV remote reported by guest; replacement remote paired and verified before evening.
MNT-000114,BKG-005577,GST-005577,RM-116,2022-12-19,12:30,safe power fault,electrical,high,resolved,TECH-018,10,188,false,significant,false,safe power fault; resolved and room returned to service.
MNT-000115,BKG-003621,GST-003621,RM-228,2022-12-26,13:12,no signal,television,high,open,TECH-011,18,,false,moderate,false,TV remote was unresponsive; open follow-up at time of review.
MNT-000116,BKG-004783,GST-004783,RM-442,2022-12-27,06:50,toilet running,plumbing,high,escalated,TECH-014,30,,false,significant,false,Water leak observed near vanity; escalated to engineering lead.
MNT-000117,BKG-000032,GST-000032,RM-241,2022-12-29,21:40,slow drain,plumbing,high,pending_parts,TECH-018,23,,true,significant,false,Unresolved vanity leak; parts ordered and absorbent mat placed pending repair.
MNT-000118,BKG-001707,GST-001707,RM-240,2022-12-30,09:35,screen flicker,television,medium,resolved,TECH-003,42,177,false,minor,false,Set-top box required reboot; record existed before guest arrival; resolved and room returned to service.
MNT-000119,BKG-009668,GST-009668,RM-511,2023-01-04,10:55,hallway noise check,noise,low,open,TECH-007,149,,false,minor,false,Guest reported elevator vibration; record existed before guest arrival; open follow-up at time of review.
MNT-000120,BKG-002549,GST-002549,RM-232,2023-01-06,12:10,power trip,electrical,medium,resolved,TECH-012,30,563,false,minor,false,safe power fault; resolved and room returned to service.
MNT-000121,BKG-009794,GST-009794,RM-511,2023-02-05,21:20,inspection follow-up,other,medium,resolved,TECH-008,62,138,false,moderate,false,general room defect; resolved and room returned to service.
MNT-000122,BKG-007966,GST-007966,RM-315,2023-02-09,12:10,toilet running,plumbing,medium,resolved,TECH-002,46,151,false,minor,false,Drain was slow and required snaking; record existed before guest arrival; resolved and room returned to service.
MNT-000123,BKG-004690,GST-004690,RM-315,2023-02-19,12:40,inspection follow-up,other,low,resolved,TECH-015,51,86,false,minor,false,general room defect; resolved and room returned to service.
MNT-000124,BKG-009218,GST-009218,RM-205,2023-03-12,08:50,power trip,electrical,medium,resolved,TECH-016,22,665,true,minor,false,safe power fault; repeat issue in same room cluster; resolved and room returned to service.
MNT-000125,BKG-009218,GST-009218,RM-205,2023-03-12,16:25,power trip,electrical,high,resolved,TECH-014,29,176,false,moderate,false,power trip; resolved and room returned to service.
MNT-000126,BKG-004070,GST-004070,RM-117,2023-03-24,09:25,screen flicker,television,low,pending_parts,TECH-016,102,,false,minor,false,Guest reported no TV signal; parts ordered; temporary workaround noted.
MNT-000127,BKG-001115,GST-001115,RM-214,2023-04-04,07:15,warm air complaint,air_conditioning,high,resolved,TECH-016,29,485,true,significant,false,Fan coil produced intermittent cooling; repeat issue in same room cluster; resolved and room returned to service.
MNT-000128,BKG-001115,GST-001115,RM-214,2023-04-05,11:25,thermostat fault,air_conditioning,low,resolved,TECH-014,136,603,false,none,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000129,BKG-009919,GST-009919,RM-436,2023-04-10,07:50,shower pressure,plumbing,high,pending_parts,TECH-010,33,,false,significant,false,Shower pressure dropped during stay; parts ordered; temporary workaround noted.
MNT-000130,BKG-005281,GST-005281,RM-424,2023-04-19,10:15,thermostat fault,air_conditioning,medium,resolved,TECH-012,73,639,false,minor,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000131,BKG-002559,GST-002559,RM-534,2023-04-25,19:35,bedside lamp fault,lighting,low,resolved,TECH-004,50,136,false,none,false,bathroom light out; resolved and room returned to service.
MNT-000132,BKG-005910,GST-005910,RM-407,2023-04-25,21:55,warm air complaint,air_conditioning,medium,resolved,TECH-012,29,483,false,minor,false,Guest reported warm air from vents; record existed before guest arrival; resolved and room returned to service.
MNT-000133,BKG-001151,GST-001151,RM-138,2023-04-27,07:25,warm air complaint,air_conditioning,high,resolved,TECH-009,33,444,false,moderate,false,Thermostat failed to hold set temperature; resolved and room returned to service.
MNT-000134,BKG-005933,GST-005933,RM-220,2023-04-30,12:15,outlet not working,electrical,high,escalated,TECH-001,11,,false,moderate,false,outlet not working; escalated to engineering lead.
MNT-000135,BKG-009804,GST-009804,RM-113,2023-05-06,20:05,key card reader fault,door_lock,medium,resolved,TECH-007,26,159,false,moderate,false,deadbolt sticking; resolved and room returned to service.
MNT-000136,BKG-002365,GST-002365,RM-312,2023-05-10,08:00,bathroom light out,lighting,low,open,TECH-018,129,,true,minor,false,bathroom light out; repeat issue in same room cluster; open follow-up at time of review.
MNT-000137,BKG-002365,GST-002365,RM-312,2023-05-11,12:00,hallway noise check,noise,medium,resolved,TECH-010,49,237,false,minor,false,Noise complaint investigated during quiet hours; resolved and room returned to service.
MNT-000138,BKG-004596,GST-004596,RM-113,2023-05-15,19:12,screen flicker,television,medium,resolved,TECH-002,45,168,false,moderate,false,Guest reported no TV signal; resolved and room returned to service.
MNT-000139,BKG-007607,GST-007607,RM-102,2023-05-16,10:40,warm air complaint,air_conditioning,medium,resolved,TECH-007,71,395,false,minor,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000140,BKG-009585,GST-009585,RM-528,2023-05-20,15:55,slow drain,plumbing,medium,resolved,TECH-012,22,592,false,moderate,false,Water leak observed near vanity; resolved and room returned to service.
MNT-000141,BKG-003599,GST-003599,RM-532,2023-05-25,01:05,sink leak,plumbing,high,resolved,TECH-008,21,338,false,significant,false,Drain was slow and required snaking; resolved and room returned to service.
MNT-000142,BKG-002543,GST-002543,RM-314,2023-06-09,16:00,no signal,television,low,resolved,TECH-013,175,180,false,none,false,Set-top box required reboot; resolved and room returned to service.
MNT-000143,BKG-005907,GST-005907,RM-440,2023-06-22,14:25,router reset,wifi,medium,resolved,TECH-013,64,69,false,moderate,false,Guest reported weak in-room Wi-Fi; resolved and room returned to service.
MNT-000144,BKG-004255,GST-004255,RM-512,2023-06-22,20:10,slow drain,plumbing,medium,resolved,TECH-018,79,187,false,minor,false,Water leak observed near vanity; resolved and room returned to service.
MNT-000145,BKG-006399,GST-006399,RM-304,2023-07-02,19:35,door latch adjustment,door_lock,medium,resolved,TECH-002,61,265,false,minor,false,deadbolt sticking; resolved and room returned to service.
