housekeeping_log_id,booking_id,guest_id,room_id,service_date,cleaning_start_time,cleaning_end_time,cleaning_duration_minutes,attendant_id,inspector_id,inspection_status,room_ready_status,issues_found,issue_severity,bathroom_status,linen_status,floor_status,minibar_status,notes
HK-000017,BKG-008269,GST-008269,RM-442,2021-01-05,13:20,13:46,26,ATT-016,INS-003,follow_up_required,ready_after_follow_up,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,daily service required follow-up for amenity tray incomplete; room release delayed pending correction.
HK-000018,BKG-002836,GST-002836,RM-339,2021-01-05,14:55,15:56,61,ATT-006,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000019,BKG-009758,GST-009758,RM-429,2021-01-05,15:10,16:10,60,ATT-023,INS-001,passed_with_notes,ready,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,checkout clean passed with minor note: minibar not restocked.
HK-000020,BKG-002964,GST-002964,RM-231,2021-01-05,15:35,16:20,45,ATT-018,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000021,BKG-005829,GST-005829,RM-116,2021-01-05,15:40,16:19,39,ATT-021,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000022,BKG-005149,GST-005149,RM-406,2021-01-06,13:20,14:19,59,ATT-011,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000023,BKG-004079,GST-004079,RM-502,2021-01-07,12:45,13:11,26,ATT-032,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000024,BKG-008269,GST-008269,RM-442,2021-01-07,14:35,15:09,34,ATT-014,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000025,BKG-005829,GST-005829,RM-116,2021-01-07,16:15,16:57,42,ATT-030,INS-005,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000026,BKG-002836,GST-002836,RM-339,2021-01-07,16:30,17:13,43,ATT-017,INS-005,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000027,BKG-000777,GST-000777,RM-522,2021-01-08,12:35,13:08,33,ATT-029,INS-009,follow_up_required,ready_after_follow_up,missing towels,minor,missing towels,fresh,vacuumed,stocked,pre arrival required follow-up for missing towels; room release delayed pending correction.
HK-000028,BKG-005149,GST-005149,RM-406,2021-01-08,12:40,13:24,44,ATT-021,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000029,BKG-005829,GST-005829,RM-116,2021-01-08,16:05,16:27,22,ATT-011,INS-008,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000030,BKG-008269,GST-008269,RM-442,2021-01-09,10:15,11:11,56,ATT-020,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000031,BKG-005829,GST-005829,RM-116,2021-01-09,10:20,11:02,42,ATT-020,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000032,BKG-005149,GST-005149,RM-406,2021-01-09,14:05,14:48,43,ATT-017,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000033,BKG-002836,GST-002836,RM-339,2021-01-09,16:35,17:13,38,ATT-013,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000034,BKG-000777,GST-000777,RM-522,2021-01-10,10:40,11:14,34,ATT-006,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000035,BKG-005149,GST-005149,RM-406,2021-01-10,16:00,16:44,44,ATT-033,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000036,BKG-005149,GST-005149,RM-406,2021-01-11,11:55,12:25,30,ATT-023,INS-008,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000037,BKG-000777,GST-000777,RM-522,2021-01-12,09:00,09:22,22,ATT-012,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000038,BKG-002836,GST-002836,RM-339,2021-01-12,11:45,12:36,51,ATT-031,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000039,BKG-003469,GST-003469,RM-106,2021-01-13,08:55,09:31,36,ATT-030,INS-010,passed_with_notes,ready,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,pre arrival passed with minor note: amenity tray incomplete.
HK-000040,BKG-006428,GST-006428,RM-435,2021-01-13,12:10,12:47,37,ATT-032,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000041,BKG-007349,GST-007349,RM-526,2021-01-14,08:25,09:52,87,ATT-011,INS-010,failed,not_ready,dirty bathroom,major,dirty,fresh,vacuumed,stocked,pre arrival failed due to dirty bathroom; room not released until corrective cleaning.
HK-000042,BKG-003469,GST-003469,RM-106,2021-01-14,09:50,10:15,25,ATT-001,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000043,BKG-002103,GST-002103,RM-110,2021-01-14,10:15,10:52,37,ATT-004,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000044,BKG-003469,GST-003469,RM-106,2021-01-15,09:30,09:56,26,ATT-028,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000045,BKG-002103,GST-002103,RM-110,2021-01-15,14:10,14:41,31,ATT-001,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000046,BKG-007349,GST-007349,RM-526,2021-01-15,15:10,15:36,26,ATT-010,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000047,BKG-006428,GST-006428,RM-435,2021-01-15,15:30,16:46,76,ATT-025,INS-005,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000048,BKG-000524,GST-000524,RM-105,2021-01-16,11:55,13:03,68,ATT-015,INS-004,failed,not_ready,stained linen,major,clean,stained,vacuumed,stocked,pre arrival failed due to stained linen; room not released until corrective cleaning.
HK-000049,BKG-007349,GST-007349,RM-526,2021-01-16,15:25,16:09,44,ATT-003,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000050,BKG-002442,GST-002442,RM-219,2021-01-17,11:00,12:00,60,ATT-008,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000051,BKG-002103,GST-002103,RM-110,2021-01-17,11:50,12:12,22,ATT-032,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000052,BKG-001852,GST-001852,RM-527,2021-01-18,11:10,12:01,51,ATT-031,INS-003,passed_with_notes,ready,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,pre arrival passed with minor note: amenity tray incomplete.
HK-000053,BKG-002442,GST-002442,RM-219,2021-01-18,12:05,12:46,41,ATT-006,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000054,BKG-002103,GST-002103,RM-110,2021-01-18,13:05,13:41,36,ATT-001,INS-006,passed_with_notes,ready,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,daily service passed with minor note: amenity tray incomplete.
HK-000055,BKG-000524,GST-000524,RM-105,2021-01-18,16:40,17:18,38,ATT-015,INS-002,passed_with_notes,ready,trash not removed,minor,clean,fresh,trash present,stocked,daily service passed with minor note: trash not removed.
HK-000056,BKG-002442,GST-002442,RM-219,2021-01-19,11:00,11:36,36,ATT-008,INS-005,follow_up_required,ready_after_follow_up,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,daily service required follow-up for minibar not restocked; room release delayed pending correction.
HK-000057,BKG-001852,GST-001852,RM-527,2021-01-19,11:15,12:26,71,ATT-020,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000058,BKG-000524,GST-000524,RM-105,2021-01-19,16:15,16:54,39,ATT-017,INS-008,passed_with_notes,ready,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,daily service passed with minor note: minibar not restocked.
HK-000059,BKG-000524,GST-000524,RM-105,2021-01-20,10:40,11:09,29,ATT-004,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000060,BKG-002442,GST-002442,RM-219,2021-01-20,12:05,12:43,38,ATT-028,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000061,BKG-002103,GST-002103,RM-110,2021-01-20,13:35,14:20,45,ATT-019,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000062,BKG-007402,GST-007402,RM-103,2021-01-20,14:50,15:53,63,ATT-012,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000063,BKG-002103,GST-002103,RM-110,2021-01-21,10:00,10:48,48,ATT-022,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000064,BKG-007402,GST-007402,RM-103,2021-01-21,10:00,10:30,30,ATT-007,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000065,BKG-002702,GST-002702,RM-329,2021-01-21,10:20,11:09,49,ATT-032,INS-003,passed_with_notes,ready,missing towels,minor,missing towels,fresh,vacuumed,stocked,pre arrival passed with minor note: missing towels.
HK-000066,BKG-000141,GST-000141,RM-304,2021-01-21,12:20,13:10,50,ATT-010,INS-005,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000067,BKG-000135,GST-000135,RM-328,2021-01-21,13:25,14:27,62,ATT-020,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000068,BKG-000141,GST-000141,RM-304,2021-01-22,11:25,11:59,34,ATT-023,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000069,BKG-000135,GST-000135,RM-328,2021-01-22,12:55,13:37,42,ATT-004,INS-008,follow_up_required,ready_after_follow_up,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,daily service required follow-up for minibar not restocked; room release delayed pending correction.
HK-000070,BKG-001487,GST-001487,RM-238,2021-01-22,14:40,15:23,43,ATT-029,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000071,BKG-002702,GST-002702,RM-329,2021-01-22,15:50,16:27,37,ATT-035,INS-007,follow_up_required,ready_after_follow_up,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,daily service required follow-up for amenity tray incomplete; room release delayed pending correction.
HK-000072,BKG-003934,GST-003934,RM-215,2021-01-23,08:55,09:46,51,ATT-031,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000073,BKG-008710,GST-008710,RM-121,2021-01-23,10:15,11:13,58,ATT-008,INS-004,passed_with_notes,ready,dust on desk,minor,clean,fresh,vacuumed,stocked,pre arrival passed with minor note: dust on desk.
HK-000074,BKG-009689,GST-009689,RM-132,2021-01-23,10:35,11:14,39,ATT-016,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000075,BKG-003985,GST-003985,RM-242,2021-01-23,12:25,13:23,58,ATT-009,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000076,BKG-000141,GST-000141,RM-304,2021-01-23,13:50,14:35,45,ATT-011,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000077,BKG-007402,GST-007402,RM-103,2021-01-23,14:25,15:05,40,ATT-001,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000078,BKG-002702,GST-002702,RM-329,2021-01-23,14:55,15:46,51,ATT-003,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000079,BKG-003985,GST-003985,RM-242,2021-01-24,09:00,09:24,24,ATT-030,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000080,BKG-009689,GST-009689,RM-132,2021-01-24,11:10,11:39,29,ATT-016,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000081,BKG-008710,GST-008710,RM-121,2021-01-24,13:40,14:22,42,ATT-008,INS-005,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000082,BKG-003934,GST-003934,RM-215,2021-01-24,13:55,14:46,51,ATT-017,INS-009,failed,not_ready,stained linen,major,clean,stained,vacuumed,stocked,daily service failed due to stained linen; room not released until corrective cleaning.
HK-000083,BKG-001487,GST-001487,RM-238,2021-01-24,15:05,15:37,32,ATT-030,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000084,BKG-001487,GST-001487,RM-238,2021-01-25,09:40,10:07,27,ATT-001,INS-006,passed_with_notes,ready,dust on desk,minor,clean,fresh,vacuumed,stocked,daily service passed with minor note: dust on desk.
HK-000085,BKG-008710,GST-008710,RM-121,2021-01-25,12:30,12:54,24,ATT-017,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000086,BKG-003934,GST-003934,RM-215,2021-01-25,12:40,13:24,44,ATT-011,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000087,BKG-003985,GST-003985,RM-242,2021-01-25,13:45,14:53,68,ATT-036,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000088,BKG-000141,GST-000141,RM-304,2021-01-25,15:35,16:17,42,ATT-015,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000089,BKG-009689,GST-009689,RM-132,2021-01-25,16:45,17:32,47,ATT-007,INS-002,passed_with_notes,ready,stained linen,minor,clean,stained,vacuumed,stocked,daily service passed with minor note: stained linen.
HK-000090,BKG-001487,GST-001487,RM-238,2021-01-26,12:15,12:47,32,ATT-027,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000091,BKG-000141,GST-000141,RM-304,2021-01-26,12:35,13:23,48,ATT-020,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000092,BKG-009689,GST-009689,RM-132,2021-01-27,09:25,09:48,23,ATT-010,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000093,BKG-003200,GST-003200,RM-211,2021-01-27,12:40,13:32,52,ATT-010,INS-010,passed_with_notes,ready,trash not removed,minor,clean,fresh,trash present,stocked,pre arrival passed with minor note: trash not removed.
HK-000094,BKG-008710,GST-008710,RM-121,2021-01-27,14:35,15:38,63,ATT-014,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000095,BKG-000135,GST-000135,RM-328,2021-01-27,15:25,16:15,50,ATT-014,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000096,BKG-003934,GST-003934,RM-215,2021-01-27,16:05,16:35,30,ATT-035,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000097,BKG-008538,GST-008538,RM-337,2021-01-28,08:30,09:08,38,ATT-008,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000098,BKG-003200,GST-003200,RM-211,2021-01-28,13:35,14:15,40,ATT-036,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000099,BKG-003934,GST-003934,RM-215,2021-01-28,14:50,15:30,40,ATT-036,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000100,BKG-005457,GST-005457,RM-234,2021-01-29,09:20,10:26,66,ATT-024,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000101,BKG-003934,GST-003934,RM-215,2021-01-29,11:25,12:37,72,ATT-019,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000102,BKG-003200,GST-003200,RM-211,2021-01-29,14:00,14:28,28,ATT-008,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000103,BKG-008538,GST-008538,RM-337,2021-01-29,15:05,15:59,54,ATT-022,INS-006,follow_up_required,ready_after_follow_up,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,checkout clean required follow-up for minibar not restocked; room release delayed pending correction.
HK-000104,BKG-007071,GST-007071,RM-504,2021-01-30,09:30,10:21,51,ATT-013,INS-001,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000105,BKG-003200,GST-003200,RM-211,2021-01-31,14:15,14:37,22,ATT-036,INS-007,follow_up_required,ready_after_follow_up,amenity tray incomplete,minor,clean,fresh,vacuumed,stocked,daily service required follow-up for amenity tray incomplete; room release delayed pending correction.
HK-000106,BKG-007071,GST-007071,RM-504,2021-01-31,15:30,16:05,35,ATT-035,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000107,BKG-005457,GST-005457,RM-234,2021-01-31,15:50,16:25,35,ATT-030,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000108,BKG-003200,GST-003200,RM-211,2021-02-01,14:30,15:20,50,ATT-031,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000109,BKG-005457,GST-005457,RM-234,2021-02-01,14:35,14:59,24,ATT-002,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000110,BKG-005457,GST-005457,RM-234,2021-02-02,10:15,10:59,44,ATT-011,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000111,BKG-007071,GST-007071,RM-504,2021-02-03,09:40,10:07,27,ATT-009,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000112,BKG-005457,GST-005457,RM-234,2021-02-03,15:50,16:27,37,ATT-020,INS-001,passed_with_notes,ready,stained linen,minor,clean,stained,vacuumed,stocked,daily service passed with minor note: stained linen.
HK-000113,BKG-005457,GST-005457,RM-234,2021-02-04,14:25,15:10,45,ATT-017,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000114,BKG-005457,GST-005457,RM-234,2021-02-05,12:00,13:15,75,ATT-034,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000115,BKG-007071,GST-007071,RM-504,2021-02-05,16:45,17:23,38,ATT-021,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000116,BKG-000644,GST-000644,RM-229,2021-02-06,09:45,10:46,61,ATT-031,INS-007,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000117,BKG-007071,GST-007071,RM-504,2021-02-06,10:55,12:09,74,ATT-015,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,checkout clean completed; inspection passed with no housekeeping defects noted.
HK-000118,BKG-008498,GST-008498,RM-429,2021-02-07,10:25,11:05,40,ATT-003,INS-006,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000119,BKG-000644,GST-000644,RM-229,2021-02-07,16:20,16:47,27,ATT-014,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000120,BKG-000408,GST-000408,RM-407,2021-02-08,08:10,08:44,34,ATT-004,INS-004,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
HK-000121,BKG-006582,GST-006582,RM-307,2021-02-08,13:00,13:58,58,ATT-002,INS-003,passed_with_notes,ready,missing towels,minor,missing towels,fresh,vacuumed,stocked,pre arrival passed with minor note: missing towels.
HK-000122,BKG-008498,GST-008498,RM-429,2021-02-08,13:20,13:49,29,ATT-015,INS-008,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000123,BKG-006582,GST-006582,RM-307,2021-02-10,11:25,11:56,31,ATT-026,INS-009,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000124,BKG-008498,GST-008498,RM-429,2021-02-10,13:25,13:58,33,ATT-035,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000125,BKG-000644,GST-000644,RM-229,2021-02-10,14:45,15:32,47,ATT-036,INS-004,passed_with_notes,ready,minibar not restocked,minor,clean,fresh,vacuumed,needs restock,daily service passed with minor note: minibar not restocked.
HK-000126,BKG-000408,GST-000408,RM-407,2021-02-10,16:45,17:17,32,ATT-008,INS-010,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000127,BKG-008498,GST-008498,RM-429,2021-02-11,11:55,12:18,23,ATT-005,INS-003,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000128,BKG-000644,GST-000644,RM-229,2021-02-11,14:10,14:52,42,ATT-027,INS-002,passed,ready,none,none,clean,fresh,vacuumed,stocked,daily service completed; inspection passed with no housekeeping defects noted.
HK-000129,BKG-009943,GST-009943,RM-524,2021-02-12,08:55,10:01,66,ATT-001,INS-008,passed,ready,none,none,clean,fresh,vacuumed,stocked,pre arrival completed; inspection passed with no housekeeping defects noted.
