booking_id,guest_id,property_id,hotel_name,arrival_date,departure_date,stay_nights,lead_time_days,adults,children,babies,meal_plan,country,market_segment,distribution_channel,repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,special_requests
BKG-000193,GST-000193,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-10-27,2021-11-08,12,111,1,0,0,BB,Germany,Groups,Direct,false,0,2,D,A,0,No Deposit,0,Contract,119.08,0,2
BKG-000226,GST-000226,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-11-30,2021-12-07,7,154,1,2,1,FB,Portugal,Offline TA/TO,Travel Agent,false,0,3,D,E,0,Non Refundable,3,Contract,128.95,2,3
BKG-000236,GST-000236,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-05-24,2021-05-27,3,132,2,1,1,BB,Germany,Groups,Tour Operator,true,1,2,A,C,1,Non Refundable,0,Transient-Party,127.91,2,0
BKG-000266,GST-000266,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-11-04,2023-11-07,3,38,2,0,1,FB,France,Offline TA/TO,Direct,true,1,1,B,D,0,Refundable,4,Contract,96.41,2,0
BKG-000271,GST-000271,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-09-15,2021-09-19,4,172,2,0,1,SC,Portugal,Groups,Travel Agent,false,0,0,A,A,0,Non Refundable,0,Transient-Party,101.16,1,3
BKG-000278,GST-000278,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-12-13,2021-12-21,8,70,1,0,1,HB,Spain,Groups,Direct,true,0,1,D,B,0,No Deposit,0,Transient-Party,101.63,1,2
BKG-000280,GST-000280,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-11-10,2023-11-17,7,81,1,2,0,BB,France,Online TA,Tour Operator,false,2,2,E,C,0,Refundable,3,Contract,78.16,0,1
BKG-000288,GST-000288,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-03-02,2023-03-07,5,129,2,1,0,BB,Spain,Online TA,Direct,false,1,2,D,D,1,No Deposit,1,Transient,100.51,1,0
BKG-000299,GST-000299,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-03-24,2022-03-30,6,141,1,2,0,FB,Portugal,Offline TA/TO,Tour Operator,false,0,1,E,E,0,Refundable,0,Transient-Party,94.60,2,3
BKG-000308,GST-000308,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-10-19,2022-10-23,4,70,1,2,1,FB,Portugal,Offline TA/TO,Direct,false,1,0,C,E,1,Non Refundable,1,Transient-Party,105.44,0,3
BKG-000317,GST-000317,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-04-20,2023-04-25,5,134,3,2,1,SC,Portugal,Groups,Corporate,false,0,1,D,B,0,Refundable,1,Transient,119.02,0,2
BKG-000319,GST-000319,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-08-21,2022-08-24,3,116,2,1,1,HB,Portugal,Online TA,Corporate,false,0,0,C,A,0,Non Refundable,1,Transient-Party,109.84,0,1
BKG-000339,GST-000339,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-11-16,2022-11-20,4,121,3,0,0,FB,Portugal,Groups,Direct,true,1,5,C,B,0,Refundable,1,Transient,105.01,2,3
BKG-000342,GST-000342,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-06-25,2023-07-02,7,112,1,0,0,HB,Germany,Groups,Corporate,false,0,0,B,E,0,No Deposit,0,Transient,108.10,1,3
BKG-000345,GST-000345,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-02-14,2023-02-20,6,76,1,0,1,SC,Spain,Groups,Travel Agent,false,0,2,D,A,0,Non Refundable,1,Transient,89.43,2,0
BKG-000398,GST-000398,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-08-21,2022-08-28,7,168,1,2,1,FB,Germany,Groups,Corporate,true,0,0,C,C,0,Refundable,1,Transient-Party,87.04,1,2
BKG-000408,GST-000408,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-02-08,2021-02-12,4,93,3,1,1,SC,Germany,Offline TA/TO,Travel Agent,false,0,2,E,D,1,Non Refundable,0,Contract,91.34,1,2
BKG-000423,GST-000423,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-03-14,2021-03-19,5,88,1,2,0,BB,France,Online TA,Travel Agent,true,0,0,A,C,0,Non Refundable,1,Transient-Party,109.27,2,3
BKG-000433,GST-000433,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-06-24,2023-06-28,4,87,3,0,0,SC,Portugal,Online TA,Direct,false,0,1,E,C,1,Non Refundable,0,Transient-Party,90.51,1,3
BKG-000440,GST-000440,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-05-01,2023-05-03,2,97,2,2,1,FB,Spain,Offline TA/TO,Tour Operator,false,1,1,D,B,1,Non Refundable,0,Transient,114.00,1,1
BKG-000444,GST-000444,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-02-13,2022-02-18,5,96,1,0,1,SC,Spain,Online TA,Travel Agent,false,0,3,A,C,0,Refundable,0,Transient,124.98,1,1
BKG-000445,GST-000445,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-01-20,2023-01-22,2,35,2,0,0,SC,Portugal,Online TA,Corporate,true,1,0,B,D,0,No Deposit,0,Transient,115.82,0,0
BKG-000447,GST-000447,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-08-04,2021-08-09,5,118,2,0,0,SC,Spain,Online TA,Tour Operator,false,1,0,C,C,2,No Deposit,3,Transient,83.90,0,3
BKG-000467,GST-000467,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-07-08,2021-07-14,6,131,2,1,1,FB,Portugal,Offline TA/TO,Direct,false,0,0,A,B,0,Non Refundable,2,Transient-Party,135.18,0,3
BKG-000482,GST-000482,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-06-03,2023-06-08,5,52,1,0,0,HB,Spain,Groups,Corporate,true,1,0,D,E,0,Non Refundable,1,Transient-Party,118.19,1,3
BKG-000502,GST-000502,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-06-20,2021-06-23,3,195,1,2,0,BB,France,Online TA,Travel Agent,false,1,0,D,E,1,Non Refundable,1,Transient,110.27,1,3
BKG-000524,GST-000524,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-01-16,2021-01-22,6,129,1,0,0,FB,France,Groups,Direct,true,0,0,B,A,1,Non Refundable,2,Contract,102.32,2,0
BKG-000527,GST-000527,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-09-29,2021-10-06,7,19,3,0,1,HB,Spain,Online TA,Direct,false,0,2,B,C,0,Non Refundable,1,Contract,81.73,2,3
BKG-000543,GST-000543,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-02-13,2022-02-24,11,126,1,0,0,FB,France,Groups,Travel Agent,true,0,1,B,B,0,Refundable,0,Transient-Party,80.58,1,3
BKG-000553,GST-000553,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-02-26,2023-03-03,5,158,1,0,0,FB,Portugal,Offline TA/TO,Direct,false,2,1,E,A,1,Non Refundable,0,Transient,107.44,0,3
BKG-000573,GST-000573,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-10-27,2021-10-28,1,116,2,1,1,BB,Spain,Groups,Travel Agent,false,0,2,D,A,0,Non Refundable,0,Contract,113.18,2,1
BKG-000574,GST-000574,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-09-06,2023-09-14,8,89,3,1,0,SC,Germany,Offline TA/TO,Tour Operator,true,1,1,A,E,0,Non Refundable,1,Transient,135.74,1,0
BKG-000585,GST-000585,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-03-20,2023-03-22,2,109,1,0,1,BB,France,Online TA,Direct,true,0,0,A,D,0,Refundable,1,Transient-Party,67.82,0,2
BKG-000589,GST-000589,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-12-26,2022-12-28,2,142,2,2,1,BB,Spain,Online TA,Tour Operator,true,0,1,B,A,0,Refundable,1,Contract,126.29,1,1
BKG-000610,GST-000610,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-02-16,2021-02-22,6,175,1,2,1,HB,Germany,Offline TA/TO,Direct,false,1,0,A,C,0,No Deposit,2,Transient-Party,98.96,1,1
BKG-000644,GST-000644,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-02-06,2021-02-12,6,25,3,2,0,HB,Spain,Offline TA/TO,Corporate,false,1,1,B,B,0,Refundable,1,Transient,95.19,2,0
BKG-000666,GST-000666,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-06-25,2023-06-29,4,105,2,2,1,BB,Germany,Offline TA/TO,Corporate,true,0,1,E,E,0,No Deposit,0,Contract,93.32,2,2
BKG-000687,GST-000687,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-12-23,2023-12-25,2,88,1,2,1,HB,Portugal,Groups,Tour Operator,true,0,0,B,E,0,No Deposit,3,Contract,92.81,2,2
BKG-000706,GST-000706,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-06-25,2022-06-29,4,130,2,1,0,BB,France,Groups,Corporate,true,0,3,E,B,0,Non Refundable,1,Transient,88.47,2,3
BKG-000708,GST-000708,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-08-21,2022-08-27,6,188,2,2,1,FB,France,Groups,Tour Operator,true,0,1,D,B,0,Non Refundable,2,Contract,62.45,2,2
BKG-000717,GST-000717,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-06-01,2023-06-06,5,106,1,0,1,SC,Germany,Offline TA/TO,Tour Operator,false,0,2,A,D,0,No Deposit,2,Transient-Party,56.59,1,0
BKG-000738,GST-000738,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-07-24,2022-07-29,5,149,3,1,0,SC,Spain,Offline TA/TO,Tour Operator,true,0,2,C,D,0,Refundable,0,Transient,124.05,2,3
BKG-000742,GST-000742,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-01-29,2023-02-06,8,36,3,2,1,SC,Germany,Online TA,Corporate,true,1,1,E,A,1,Refundable,1,Transient,110.25,1,3
BKG-000748,GST-000748,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-01-22,2022-01-30,8,62,3,0,0,HB,Germany,Offline TA/TO,Travel Agent,false,0,0,C,D,0,Refundable,1,Transient-Party,120.65,2,2
BKG-000760,GST-000760,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-11-05,2022-11-11,6,135,1,2,0,FB,Portugal,Online TA,Travel Agent,true,0,2,A,E,2,Non Refundable,1,Transient,106.04,0,1
BKG-000765,GST-000765,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-10-01,2023-10-09,8,157,2,0,0,SC,France,Offline TA/TO,Direct,true,0,1,C,A,1,No Deposit,1,Transient,85.36,1,1
BKG-000777,GST-000777,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-01-08,2021-01-13,5,64,2,0,0,HB,Portugal,Groups,Tour Operator,true,0,1,D,E,0,No Deposit,0,Transient,75.71,0,3
BKG-000829,GST-000829,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-02-18,2022-02-21,3,79,1,0,0,HB,Germany,Offline TA/TO,Direct,true,2,1,E,B,0,Refundable,2,Transient-Party,94.21,1,3
BKG-000834,GST-000834,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-08-29,2021-09-05,7,62,2,1,1,HB,Spain,Groups,Tour Operator,true,0,0,E,E,0,No Deposit,1,Transient,108.60,2,0
BKG-000842,GST-000842,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-03-04,2023-03-11,7,134,2,1,1,SC,Spain,Online TA,Direct,false,0,3,A,B,1,Refundable,1,Contract,70.23,1,2
BKG-000850,GST-000850,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-02-12,2022-02-17,5,73,3,0,1,SC,France,Offline TA/TO,Tour Operator,false,0,2,B,B,1,No Deposit,0,Contract,123.00,2,1
BKG-000863,GST-000863,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-03-22,2022-03-25,3,177,1,1,0,FB,Germany,Online TA,Direct,true,1,1,D,E,0,No Deposit,3,Transient-Party,98.28,0,1
BKG-000867,GST-000867,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-04-26,2022-04-29,3,114,1,0,1,FB,Portugal,Groups,Tour Operator,false,2,1,B,A,0,Refundable,0,Transient-Party,87.41,1,2
BKG-000871,GST-000871,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-05-07,2021-05-13,6,91,1,0,0,SC,Spain,Online TA,Direct,true,0,0,C,C,0,Refundable,1,Transient-Party,82.90,0,1
BKG-000878,GST-000878,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-06-05,2022-06-06,1,111,2,2,0,FB,France,Online TA,Direct,false,0,0,B,E,0,No Deposit,1,Transient,137.28,0,3
BKG-000898,GST-000898,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-04-11,2023-04-13,2,107,3,0,1,HB,Portugal,Offline TA/TO,Corporate,true,1,0,A,D,0,Non Refundable,0,Transient-Party,91.71,0,2
BKG-000901,GST-000901,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-12-16,2022-12-20,4,118,2,2,0,HB,France,Offline TA/TO,Travel Agent,true,1,1,E,C,0,Non Refundable,1,Transient,113.58,2,3
BKG-000915,GST-000915,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-09-26,2021-10-01,5,95,2,1,0,SC,Portugal,Groups,Corporate,false,0,0,C,A,0,Refundable,1,Transient,130.98,2,2
BKG-000925,GST-000925,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-03-13,2023-03-19,6,160,1,1,0,BB,France,Offline TA/TO,Direct,true,0,1,E,A,0,No Deposit,3,Transient,81.56,1,0
BKG-000927,GST-000927,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-10-01,2023-10-08,7,72,3,1,1,SC,Portugal,Groups,Tour Operator,false,1,1,C,B,0,Refundable,0,Contract,99.19,2,0
BKG-000935,GST-000935,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-12-30,2022-01-01,2,122,3,2,0,SC,Spain,Offline TA/TO,Tour Operator,false,0,4,B,D,0,No Deposit,1,Contract,106.23,1,1
BKG-000936,GST-000936,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-02-22,2021-03-01,7,75,3,0,0,FB,Germany,Offline TA/TO,Travel Agent,false,1,1,D,C,0,Non Refundable,2,Transient-Party,131.54,1,3
BKG-000941,GST-000941,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-11-07,2021-11-12,5,36,2,1,1,FB,Germany,Online TA,Corporate,true,0,1,B,A,0,Refundable,3,Transient,89.36,0,3
BKG-000955,GST-000955,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-02-08,2022-02-13,5,96,1,2,0,BB,Portugal,Groups,Tour Operator,true,0,2,D,A,0,Non Refundable,1,Transient,120.66,2,0
BKG-000963,GST-000963,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-12-23,2023-01-04,12,110,3,2,0,SC,Spain,Offline TA/TO,Travel Agent,true,0,0,C,B,1,Refundable,2,Transient-Party,86.36,0,1
BKG-000975,GST-000975,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-09-15,2021-09-20,5,78,3,2,0,SC,France,Online TA,Tour Operator,true,1,1,B,D,0,Non Refundable,1,Transient-Party,95.59,1,3
BKG-000979,GST-000979,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-12-09,2021-12-13,4,21,1,0,1,SC,France,Online TA,Corporate,true,1,1,E,C,0,Refundable,1,Transient,88.35,2,3
BKG-000994,GST-000994,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-03-09,2021-03-13,4,66,2,2,1,SC,Spain,Online TA,Tour Operator,false,1,1,D,A,0,No Deposit,2,Transient-Party,89.93,0,1
BKG-000995,GST-000995,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-08-29,2023-08-30,1,50,1,1,0,FB,France,Groups,Travel Agent,false,0,0,D,D,0,Non Refundable,1,Contract,88.84,1,0
BKG-000997,GST-000997,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-10-10,2022-10-14,4,190,1,2,0,BB,France,Online TA,Direct,false,1,1,E,B,0,Non Refundable,1,Transient,99.03,0,1
BKG-001009,GST-001009,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-01-13,2023-01-17,4,152,1,2,1,SC,Spain,Online TA,Direct,true,1,0,B,B,1,No Deposit,1,Transient-Party,104.04,2,1
BKG-001022,GST-001022,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-09-10,2022-09-15,5,71,3,2,0,FB,Spain,Groups,Direct,false,0,0,C,C,0,No Deposit,0,Transient,49.65,2,2
BKG-001025,GST-001025,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-08-25,2022-08-31,6,186,3,0,1,FB,Germany,Online TA,Travel Agent,false,1,1,D,D,0,No Deposit,1,Transient,145.03,2,1
BKG-001038,GST-001038,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-06-11,2022-06-18,7,27,2,1,1,HB,Portugal,Offline TA/TO,Corporate,false,0,1,C,E,0,Refundable,2,Transient-Party,111.90,1,1
BKG-001044,GST-001044,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-06-05,2021-06-08,3,98,2,0,0,FB,Portugal,Offline TA/TO,Travel Agent,false,0,0,A,B,0,Refundable,0,Transient-Party,108.51,0,1
BKG-001059,GST-001059,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-12-01,2022-12-06,5,127,3,2,1,HB,Spain,Online TA,Corporate,false,1,2,C,D,0,No Deposit,1,Contract,54.66,2,0
BKG-001067,GST-001067,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-09-26,2021-09-29,3,35,1,1,1,FB,Germany,Offline TA/TO,Tour Operator,true,0,1,C,C,0,No Deposit,2,Transient-Party,98.07,2,0
BKG-001077,GST-001077,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-08-27,2021-09-02,6,22,2,1,0,BB,Portugal,Groups,Direct,true,1,1,D,D,0,Non Refundable,1,Transient,126.25,0,3
BKG-001083,GST-001083,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-11-10,2021-11-13,3,84,1,1,0,BB,Germany,Online TA,Corporate,true,0,1,D,E,0,Non Refundable,3,Transient,79.15,2,0
BKG-001090,GST-001090,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-03-09,2023-03-15,6,90,3,2,1,HB,Portugal,Offline TA/TO,Direct,false,1,0,D,E,0,No Deposit,1,Contract,91.35,0,1
BKG-001094,GST-001094,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-08-18,2022-08-21,3,103,1,1,1,FB,France,Offline TA/TO,Corporate,true,0,1,C,D,0,Non Refundable,3,Transient-Party,88.99,2,1
BKG-001098,GST-001098,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-06-28,2022-06-30,2,0,1,2,1,BB,Germany,Groups,Corporate,false,0,1,D,D,0,Non Refundable,1,Contract,104.76,0,1
BKG-001103,GST-001103,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-07-04,2021-07-07,3,204,2,1,1,HB,France,Groups,Travel Agent,false,0,0,A,A,0,Refundable,0,Transient,105.90,2,0
BKG-001104,GST-001104,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-06-04,2021-06-05,1,93,3,2,1,FB,Germany,Offline TA/TO,Tour Operator,false,1,2,C,E,0,Refundable,3,Contract,106.47,1,1
BKG-001114,GST-001114,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-04-30,2023-05-03,3,125,1,1,0,BB,Spain,Groups,Direct,true,1,2,E,D,0,Non Refundable,0,Contract,119.30,2,0
BKG-001115,GST-001115,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-04-02,2023-04-09,7,108,1,2,1,BB,Germany,Online TA,Travel Agent,true,2,0,D,B,0,Non Refundable,1,Transient,95.95,2,0
BKG-001133,GST-001133,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-10-23,2021-10-30,7,181,3,0,1,HB,Portugal,Groups,Direct,true,1,2,D,A,2,Refundable,1,Contract,83.20,2,0
BKG-001136,GST-001136,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-04-25,2022-04-26,1,148,2,2,1,FB,Spain,Offline TA/TO,Tour Operator,false,0,1,A,D,0,Refundable,4,Contract,104.53,0,2
BKG-001139,GST-001139,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-09-04,2023-09-09,5,130,2,1,1,SC,Germany,Online TA,Tour Operator,false,1,1,D,B,1,Non Refundable,2,Transient-Party,83.83,2,3
BKG-001142,GST-001142,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-02-06,2022-02-07,1,169,1,2,0,FB,Germany,Offline TA/TO,Tour Operator,true,0,1,C,A,1,Non Refundable,2,Transient-Party,106.08,1,2
BKG-001149,GST-001149,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-08-06,2022-08-11,5,180,2,1,1,BB,France,Groups,Direct,false,2,2,A,D,0,Non Refundable,0,Contract,91.01,1,2
BKG-001151,GST-001151,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2023-04-27,2023-04-28,1,50,2,2,1,SC,Portugal,Groups,Direct,false,0,0,D,A,0,No Deposit,1,Transient,91.86,0,3
BKG-001190,GST-001190,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-07-24,2022-07-30,6,52,3,0,1,SC,Portugal,Offline TA/TO,Travel Agent,true,0,2,C,A,0,No Deposit,0,Contract,98.82,1,1
BKG-001251,GST-001251,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-05-07,2021-05-11,4,117,2,2,1,HB,Germany,Offline TA/TO,Tour Operator,false,0,0,C,B,0,No Deposit,1,Transient,120.67,2,3
BKG-001274,GST-001274,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-02-24,2021-02-27,3,84,2,2,0,HB,Spain,Offline TA/TO,Tour Operator,true,0,0,C,C,0,No Deposit,1,Contract,112.25,1,2
BKG-001295,GST-001295,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-11-14,2022-11-22,8,104,1,0,0,HB,Germany,Groups,Direct,true,0,1,A,B,0,Non Refundable,0,Transient-Party,98.02,0,3
BKG-001326,GST-001326,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2022-01-10,2022-01-14,4,1,1,0,1,FB,France,Groups,Direct,false,1,1,E,D,0,Refundable,1,Transient-Party,99.87,1,3
BKG-001339,GST-001339,PROP-AURELIA-GRAND-MADRID,Aurelia Grand Madrid,2021-10-30,2021-11-04,5,81,2,2,1,FB,France,Groups,Corporate,true,1,0,A,D,0,Refundable,1,Transient,102.20,2,3
