case_id,booking_id,guest_id,room_id,source_channel,complaint_created_at,complaint_text,complaint_category,sentiment,urgency,photo_attached,photo_caption,audio_attached,transcript_available,claimed_issue,expected_evidence_source,evidence_strength,recommended_demo_case,ground_truth_resolution_hint,notes
CASE-000020,BKG-000032,GST-000032,RM-241,chat,2022-12-27T18:50:00,Can you look into this? the sink or shower issue in RM-241 should be checked against the maintenance record. Can someone follow up after checking the records?,plumbing,angry,high,false,,false,false,bathroom plumbing issue,maintenance_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000021,BKG-008276,GST-008276,RM-535,review_site,2021-10-05T22:20:00,I expected better from this stay. The Wi-Fi in RM-535 kept dropping and made it hard to work. I hope management takes this seriously.,wifi,frustrated,medium,false,,false,false,in-room Wi-Fi problem,maintenance_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000022,BKG-004977,GST-004977,RM-222,review_site,2022-11-22T08:50:00,This was disappointing for a hotel at this level. internet service in RM-222 was unreliable throughout part of the stay. Guests should not have to chase down basic follow-up.,wifi,angry,medium,false,,false,false,in-room Wi-Fi problem,maintenance_logs; policy_pdfs,medium,false,housekeeping_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000023,BKG-002103,GST-002103,RM-110,chat,2021-01-19T16:10:00,Can someone check this for me? the Wi-Fi in RM-110 kept dropping and made it hard to work. Can you check the logs and tell me what happened?,wifi,frustrated,high,false,,false,false,in-room Wi-Fi problem,maintenance_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000024,BKG-004343,GST-004343,RM-438,email,2023-08-31T09:00:00,"Hello guest relations, the Wi-Fi in RM-438 kept dropping and made it hard to work. Please review the relevant records and let me know what resolution is appropriate.",wifi,frustrated,medium,false,,false,false,in-room Wi-Fi problem,maintenance_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000025,BKG-003759,GST-003759,RM-422,review_site,2023-10-31T20:15:00,Sharing this publicly because the stay did not meet expectations. The connection in RM-422 was unstable enough that I need the support record reviewed. This needs better follow-through from the hotel.,wifi,frustrated,medium,false,,false,false,in-room Wi-Fi problem,maintenance_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000026,BKG-000748,GST-000748,RM-433,review_site,2022-01-28T18:15:00,Management should review this stay. Wi-Fi problems in RM-433 disrupted the stay more than expected. I hope management takes this seriously.,wifi,angry,medium,false,,false,false,in-room Wi-Fi problem,maintenance_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available maintenance_logs; policy_pdfs evidence.
CASE-000027,BKG-007258,GST-007258,RM-233,chat,2023-12-14T10:10:00,"Can someone check this for me? RM-233 did not feel properly cleaned when I arrived, especially around the bathroom and floor. Can you check the logs and tell me what happened?",dirty_room,frustrated,high,true,stained bedsheet near pillow,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,housekeeping_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000028,BKG-008663,GST-008663,RM-420,web_form,2023-09-19T16:15:00,"Please review this stay concern: RM-420 did not feel properly cleaned when I arrived, especially around the bathroom and floor. Please review the operational records and respond.",dirty_room,disappointed,high,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000029,BKG-005764,GST-005764,RM-203,web_form,2023-12-21T20:50:00,Submitting a room issue for review: The room readiness in RM-203 felt rushed and the housekeeping details were not where they should be. Follow-up requested after checking the logs.,dirty_room,angry,high,true,stained bedsheet near pillow,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,medium,false,housekeeping_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000030,BKG-003582,GST-003582,RM-537,email,2023-09-23T22:10:00,"Hello guest relations, RM-537 did not feel properly cleaned when I arrived, especially around the bathroom and floor. Please review the relevant records and let me know what resolution is appropriate.",dirty_room,angry,high,true,dirty bathroom sink with visible residue,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000031,BKG-006843,GST-006843,RM-534,web_form,2022-03-13T11:05:00,Guest concern submitted: I found cleanliness issues in RM-534 that should have been caught before release. Please confirm what the hotel found.,dirty_room,frustrated,high,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000032,BKG-002702,GST-002702,RM-329,chat,2021-01-22T18:00:00,I need help reviewing this: The room readiness in RM-329 felt rushed and the housekeeping details were not where they should be. Please help me get this reviewed.,dirty_room,angry,medium,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000033,BKG-008125,GST-008125,RM-530,review_site,2023-10-25T14:10:00,"I expected better from this stay. RM-530 did not feel properly cleaned when I arrived, especially around the bathroom and floor. I hope management takes this seriously.",dirty_room,frustrated,medium,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000034,BKG-009984,GST-009984,RM-507,review_site,2022-05-05T11:00:00,This was disappointing for a hotel at this level. The room readiness in RM-507 felt rushed and the housekeeping details were not where they should be. Guests should not have to chase down basic follow-up.,dirty_room,frustrated,medium,true,overflowing trash bin beside desk,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000035,BKG-004038,GST-004038,RM-419,review_site,2023-09-24T18:00:00,Sharing this publicly because the stay did not meet expectations. I found cleanliness issues in RM-419 that should have been caught before release. This needs better follow-through from the hotel.,dirty_room,angry,medium,true,overflowing trash bin beside desk,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000036,BKG-001956,GST-001956,RM-531,web_form,2023-03-18T14:45:00,"Requesting follow-up on this issue: The bathroom, linens, or floor in RM-531 did not look fully prepared at arrival. Please review the operational records and respond.",dirty_room,angry,medium,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000037,BKG-007769,GST-007769,RM-326,review_site,2021-03-25T08:30:00,"Management should review this stay. The bathroom, linens, or floor in RM-326 did not look fully prepared at arrival. I hope management takes this seriously.",dirty_room,angry,high,true,dirty bathroom sink with visible residue,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000038,BKG-009702,GST-009702,RM-101,chat,2022-04-01T11:10:00,Can someone check this for me? RM-101 was missing basic amenities that should have been ready before arrival. Can you check the logs and tell me what happened?,missing_amenities,frustrated,high,false,,false,false,missing room amenities,housekeeping_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000039,BKG-006127,GST-006127,RM-242,web_form,2021-04-02T16:15:00,Please review this stay concern: RM-242 was missing basic amenities that should have been ready before arrival. Please review the operational records and respond.,missing_amenities,disappointed,medium,true,minibar shelf missing sealed items,false,false,missing room amenities,housekeeping_logs; policy_pdfs,medium,false,housekeeping_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000040,BKG-007849,GST-007849,RM-142,review_site,2021-06-26T09:20:00,I expected better from this stay. RM-142 was missing basic amenities that should have been ready before arrival. I hope management takes this seriously.,missing_amenities,angry,high,false,,false,false,missing room amenities,housekeeping_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000041,BKG-000271,GST-000271,RM-130,web_form,2021-09-15T22:20:00,"Submitting a room issue for review: we had to ask for towels or standard room items in RM-130, which should not have been necessary. Follow-up requested after checking the logs.",missing_amenities,frustrated,high,true,minibar shelf missing sealed items,false,false,missing room amenities,housekeeping_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000042,BKG-003602,GST-003602,RM-541,chat,2021-08-17T09:05:00,"I need help reviewing this: we had to ask for towels or standard room items in RM-541, which should not have been necessary. Please help me get this reviewed.",missing_amenities,disappointed,medium,false,,false,false,missing room amenities,housekeeping_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000043,BKG-001114,GST-001114,RM-439,chat,2023-05-01T10:15:00,"Can you look into this? the setup in RM-439 was incomplete, including missing amenities or minibar items. Can someone follow up after checking the records?",missing_amenities,frustrated,medium,true,empty towel shelf in bathroom,false,false,missing room amenities,housekeeping_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000044,BKG-000226,GST-000226,RM-521,web_form,2021-11-30T22:10:00,Please review this stay concern: I reserved room type D but was assigned room type E. Please review the operational records and respond.,room_type_mismatch,frustrated,medium,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,manager_review,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000045,BKG-002156,GST-002156,RM-529,review_site,2022-05-02T09:05:00,I expected better from this stay. I reserved room type C but was assigned room type E. I hope management takes this seriously.,room_type_mismatch,frustrated,high,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,manager_review,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000046,BKG-000901,GST-000901,RM-330,chat,2022-12-16T22:05:00,Can someone check this for me? I reserved room type E but was assigned room type C. Can you check the logs and tell me what happened?,room_type_mismatch,frustrated,high,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000047,BKG-002009,GST-002009,RM-408,chat,2023-04-08T22:05:00,"I need help reviewing this: The booking shows reserved type B, while the stay record shows assigned type D. Please help me get this reviewed.",room_type_mismatch,frustrated,medium,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,housekeeping_review,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000048,BKG-001412,GST-001412,RM-123,chat,2022-12-09T11:00:00,Can you look into this? the room type I received (A) did not match the room type I booked (E). Can someone follow up after checking the records?,room_type_mismatch,angry,high,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000049,BKG-002313,GST-002313,RM-510,review_site,2021-09-18T14:05:00,"This was disappointing for a hotel at this level. The booking shows reserved type D, while the stay record shows assigned type E. Guests should not have to chase down basic follow-up.",room_type_mismatch,frustrated,medium,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000050,BKG-001090,GST-001090,RM-509,chat,2023-03-09T20:30:00,Please check the records for this: I want the difference between reserved type D and assigned type E reviewed. Can you check the logs and tell me what happened?,room_type_mismatch,angry,high,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,manager_review,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000051,BKG-005623,GST-005623,RM-142,review_site,2023-11-04T08:45:00,I expected better from this stay. Noise around RM-142 made it difficult to rest. I hope management takes this seriously.,noise,disappointed,low,false,,false,false,noise disturbance,booking_records; policy_pdfs,weak,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000052,BKG-004907,GST-004907,RM-108,web_form,2022-02-10T18:50:00,Please review this stay concern: The response I received after raising the room concern felt dismissive. Please review the operational records and respond.,rude_service,calm,medium,false,,false,false,poor staff interaction,booking_records; policy_pdfs,none,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000053,BKG-004682,GST-004682,RM-205,chat,2022-07-20T20:15:00,Can someone check this for me? the final charges for this stay do not look right to me. Can you check the logs and tell me what happened?,billing_issue,disappointed,medium,false,,false,false,billing discrepancy,booking_records; policy_pdfs,none,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000054,BKG-002130,GST-002130,RM-407,web_form,2023-05-14T22:45:00,Please review this stay concern: check-in took too long and RM-407 still did not feel fully ready. Please review the operational records and respond.,late_checkin,frustrated,medium,false,,false,false,delayed check-in or room readiness,booking_records; policy_pdfs,none,false,insufficient_evidence,Operational evidence may not fully support the guest claim.
CASE-000055,BKG-009562,GST-009562,RM-215,chat,2022-04-17T18:45:00,Can someone check this for me? noise around RM-215 made it difficult to rest. Can you check the logs and tell me what happened?,noise,disappointed,medium,false,,false,false,noise disturbance,booking_records; policy_pdfs,none,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000056,BKG-006227,GST-006227,RM-320,review_site,2021-04-01T11:30:00,I expected better from this stay. The response I received after raising the room concern felt dismissive. I hope management takes this seriously.,rude_service,disappointed,medium,false,,false,false,poor staff interaction,booking_records; policy_pdfs,none,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000057,BKG-003034,GST-003034,RM-203,email,2023-07-26T18:05:00,"Hello guest relations, the final charges for this stay do not look right to me. Please review the relevant records and let me know what resolution is appropriate.",billing_issue,frustrated,low,false,,false,false,billing discrepancy,booking_records; policy_pdfs,weak,false,insufficient_evidence,Operational evidence may not fully support the guest claim.
CASE-000058,BKG-005149,GST-005149,RM-406,review_site,2021-01-06T08:50:00,I expected better from this stay. Check-in took too long and RM-406 still did not feel fully ready. I hope management takes this seriously.,late_checkin,calm,low,false,,false,false,delayed check-in or room readiness,booking_records; policy_pdfs,weak,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000059,BKG-003106,GST-003106,RM-109,review_site,2021-12-27T14:00:00,This was disappointing for a hotel at this level. There was repeated noise near RM-109 that affected sleep. Guests should not have to chase down basic follow-up.,noise,disappointed,low,false,,false,false,noise disturbance,booking_records; policy_pdfs,weak,false,insufficient_evidence,Operational evidence may not fully support the guest claim.
CASE-000060,BKG-006321,GST-006321,RM-522,chat,2023-08-10T10:50:00,Can someone check this for me? the response I received after raising the room concern felt dismissive. Can you check the logs and tell me what happened?,rude_service,frustrated,medium,false,,false,false,poor staff interaction,booking_records; policy_pdfs,weak,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000061,BKG-005492,GST-005492,RM-441,phone,2021-03-18T08:05:00,I'm calling because the final charges for this stay do not look right to me. Can you please have a manager review the records?,billing_issue,frustrated,medium,false,,true,true,billing discrepancy,booking_records; policy_pdfs,weak,false,insufficient_evidence,Operational evidence may not fully support the guest claim.
CASE-000062,BKG-005315,GST-005315,RM-314,web_form,2023-12-09T16:00:00,"Submitting a room issue for review: The arrival process was delayed, and the room readiness did not match expectations. Follow-up requested after checking the logs.",late_checkin,calm,medium,false,,false,false,delayed check-in or room readiness,booking_records; policy_pdfs,weak,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000063,BKG-001528,GST-001528,RM-421,chat,2022-04-27T22:30:00,Can you look into this? I found cleanliness issues in RM-421 that should have been caught before release. Can someone follow up after checking the records?,dirty_room,frustrated,medium,true,stained bedsheet near pillow,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000064,BKG-001962,GST-001962,RM-307,chat,2023-06-15T16:50:00,Can someone check this for me? I reserved room type E but was assigned room type C. Please help me get this reviewed.,room_type_mismatch,angry,high,false,,false,false,reserved room type not honored,booking_records; policy_pdfs,medium,false,likely_voucher,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000065,BKG-009129,GST-009129,RM-204,web_form,2022-04-04T20:50:00,Submitting a room issue for review: RM-204 stayed warm for hours and the AC only seemed to blow weak air. Follow-up requested after checking the logs.,broken_ac,calm,low,false,,false,false,air conditioning failure,booking_records; policy_pdfs,weak,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000066,BKG-006348,GST-006348,RM-119,review_site,2021-04-13T22:45:00,Sharing this publicly because the stay did not meet expectations. The sink or shower issue in RM-119 should be checked against the maintenance record. This needs better follow-through from the hotel.,plumbing,disappointed,low,false,,false,false,bathroom plumbing issue,booking_records; policy_pdfs,none,false,insufficient_evidence,Operational evidence may not fully support the guest claim.
CASE-000067,BKG-003354,GST-003354,RM-525,email,2021-02-14T11:30:00,"Dear guest relations team, internet service in RM-525 was unreliable throughout part of the stay. I would appreciate a written follow-up after the records are checked.",wifi,frustrated,low,false,,false,false,in-room Wi-Fi problem,booking_records; policy_pdfs,none,false,apology_only,Operational evidence may not fully support the guest claim.
CASE-000068,BKG-009415,GST-009415,RM-436,review_site,2022-11-15T10:05:00,"I expected better from this stay. RM-436 did not feel properly cleaned when I arrived, especially around the bathroom and floor. Guests should not have to chase down basic follow-up.",dirty_room,disappointed,medium,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,conflicting,false,housekeeping_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000069,BKG-001190,GST-001190,RM-129,phone,2022-07-24T11:00:00,I'm calling because I reserved room type C but was assigned room type A. Can you please have a manager review the records?,room_type_mismatch,frustrated,high,false,,true,true,reserved room type not honored,booking_records; policy_pdfs,medium,false,housekeeping_review,Complaint aligned with available booking_records; policy_pdfs evidence.
CASE-000070,BKG-006938,GST-006938,RM-211,chat,2022-12-02T18:50:00,I need help reviewing this: I need the bill reviewed because it does not match what I expected. Please help me get this reviewed.,billing_issue,frustrated,low,false,,false,false,billing discrepancy,booking_records; policy_pdfs,none,false,insufficient_evidence,Operational evidence may not fully support the guest claim.
CASE-000071,BKG-007270,GST-007270,RM-127,email,2021-09-03T22:10:00,"Hello guest relations, check-in took too long and RM-127 still did not feel fully ready. Please review the relevant records and let me know what resolution is appropriate.",late_checkin,frustrated,medium,false,,false,false,delayed check-in or room readiness,booking_records; policy_pdfs,weak,false,likely_voucher,Operational evidence may not fully support the guest claim.
CASE-000072,BKG-007504,GST-007504,RM-215,review_site,2023-02-06T08:50:00,This was disappointing for a hotel at this level. The room readiness in RM-215 felt rushed and the housekeeping details were not where they should be. This needs better follow-through from the hotel.,dirty_room,disappointed,high,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,strong,false,housekeeping_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000073,BKG-001406,GST-001406,RM-505,web_form,2022-10-26T11:50:00,"Guest concern submitted: The setup in RM-505 was incomplete, including missing amenities or minibar items. Please confirm what the hotel found.",missing_amenities,frustrated,low,false,,false,false,missing room amenities,booking_records; policy_pdfs,weak,false,apology_only,Operational evidence may not fully support the guest claim.
CASE-000074,BKG-006759,GST-006759,RM-334,chat,2022-12-03T22:00:00,Please check the records for this: Basic room supplies were not ready in RM-334 when we arrived. Can you check the logs and tell me what happened?,missing_amenities,disappointed,high,true,empty towel shelf in bathroom,false,false,missing room amenities,housekeeping_logs; policy_pdfs,strong,false,housekeeping_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
CASE-000075,BKG-000708,GST-000708,RM-225,review_site,2022-08-26T09:10:00,Sharing this publicly because the stay did not meet expectations. I found cleanliness issues in RM-225 that should have been caught before release. I hope management takes this seriously.,dirty_room,angry,medium,false,,false,false,room cleanliness problem,housekeeping_logs; policy_pdfs,medium,false,manager_review,Complaint aligned with available housekeeping_logs; policy_pdfs evidence.
